"statistic" "tf" "condition" "score"
"viper" "NFE2" "Ctrl" -0.521902711347596
"viper" "NFE2" "OA" -0.51237953584065
"viper" "NFE2" "PA" -0.331790770489117
"viper" "NFE2" "PO" -0.49463724852337
"viper" "NFE2L1" "Ctrl" -0.0416441137835102
"viper" "NFE2L1" "OA" -0.161265956177748
"viper" "NFE2L1" "PA" 0.00867578399192597
"viper" "NFE2L1" "PO" -0.0856152019685863
"viper" "NFE2L2" "Ctrl" 2.64290261131483
"viper" "NFE2L2" "OA" 2.4629842118974
"viper" "NFE2L2" "PA" 3.30337850297599
"viper" "NFE2L2" "PO" 2.50792216957714
"viper" "NFIC" "Ctrl" -0.191973951594433
"viper" "NFIC" "OA" -0.353541611552953
"viper" "NFIC" "PA" -0.410991600592026
"viper" "NFIC" "PO" -0.34606464390915
"viper" "NFKB1" "Ctrl" 1.76664021586011
"viper" "NFKB1" "OA" 0.701534657190457
"viper" "NFKB1" "PA" 0.796934527436493
"viper" "NFKB1" "PO" 0.75532205010355
"viper" "NFKB2" "Ctrl" -0.547749293522384
"viper" "NFKB2" "OA" 0.368000342574978
"viper" "NFKB2" "PA" 0.276856460126884
"viper" "NFKB2" "PO" 0.208017887107945
"viper" "NFYA" "Ctrl" 0.663921774804427
"viper" "NFYA" "OA" 0.584997401959532
"viper" "NFYA" "PA" 1.10500961861996
"viper" "NFYA" "PO" 0.645227031688886
"viper" "NFYB" "Ctrl" 1.42271957408751
"viper" "NFYB" "OA" 1.56027861473371
"viper" "NFYB" "PA" 1.41397264579191
"viper" "NFYB" "PO" 1.45694342357545
"viper" "NR1H2" "Ctrl" 1.93868582368608
"viper" "NR1H2" "OA" 1.86747112976284
"viper" "NR1H2" "PA" 2.20692629098645
"viper" "NR1H2" "PO" 1.99561005214871
"viper" "NR1H3" "Ctrl" -0.459260470003028
"viper" "NR1H3" "OA" -0.423865102065587
"viper" "NR1H3" "PA" -0.466449727204212
"viper" "NR1H3" "PO" -0.392631282468737
"viper" "NR2C2" "Ctrl" 1.8154759017831
"viper" "NR2C2" "OA" 2.17009459601456
"viper" "NR2C2" "PA" 1.77120954615426
"viper" "NR2C2" "PO" 1.80691137901454
"viper" "NR2F1" "Ctrl" -0.685380131361375
"viper" "NR2F1" "OA" -1.02487559709609
"viper" "NR2F1" "PA" -1.04104714847224
"viper" "NR2F1" "PO" -0.831483451043613
"viper" "NR2F2" "Ctrl" -1.96923194384156
"viper" "NR2F2" "OA" -2.00748758161852
"viper" "NR2F2" "PA" -2.20099553098081
"viper" "NR2F2" "PO" -2.10800500323141
"viper" "NR2F6" "Ctrl" 0.250523493661692
"viper" "NR2F6" "OA" 0.330431400912029
"viper" "NR2F6" "PA" 0.254128550563061
"viper" "NR2F6" "PO" 0.265657264953148
"viper" "NR3C1" "Ctrl" -1.4270096781074
"viper" "NR3C1" "OA" -1.48173066703025
"viper" "NR3C1" "PA" -1.41753178893838
"viper" "NR3C1" "PO" -1.44431053126994
"viper" "NR4A1" "Ctrl" -2.23559786719666
"viper" "NR4A1" "OA" -2.33731874792471
"viper" "NR4A1" "PA" -2.22540551753053
"viper" "NR4A1" "PO" -2.24716614172913
"viper" "NR5A1" "Ctrl" -2.72780402165002
"viper" "NR5A1" "OA" -2.26268638921279
"viper" "NR5A1" "PA" -3.06584883232244
"viper" "NR5A1" "PO" -2.74937245891703
"viper" "NR5A2" "Ctrl" 0.628785807077751
"viper" "NR5A2" "OA" 0.398839871980869
"viper" "NR5A2" "PA" 0.532135504879825
"viper" "NR5A2" "PO" 0.558418953908294
"viper" "NRF1" "Ctrl" 0.747831023168482
"viper" "NRF1" "OA" 0.760263714603228
"viper" "NRF1" "PA" 0.734321757501979
"viper" "NRF1" "PO" 0.702925699661528
"viper" "ONECUT1" "Ctrl" -1.37321976687622
"viper" "ONECUT1" "OA" -1.22678369597583
"viper" "ONECUT1" "PA" -1.3219799079705
"viper" "ONECUT1" "PO" -1.36823832339182
"viper" "OTX2" "Ctrl" -1.74508567508466
"viper" "OTX2" "OA" -1.5317970002344
"viper" "OTX2" "PA" -1.67453525102047
"viper" "OTX2" "PO" -1.642432937168
"viper" "PAX5" "Ctrl" -0.0389775325715385
"viper" "PAX5" "OA" -0.0386901204838476
"viper" "PAX5" "PA" -0.0611437386356132
"viper" "PAX5" "PO" -0.0729186914787038
"viper" "PAX6" "Ctrl" 0.335065081749425
"viper" "PAX6" "OA" 0.466495239005016
"viper" "PAX6" "PA" 0.0550223920476523
"viper" "PAX6" "PO" 0.383846681744199
"viper" "PAX8" "Ctrl" -2.12328504129141
"viper" "PAX8" "OA" -1.95499416483453
"viper" "PAX8" "PA" -2.19264117896894
"viper" "PAX8" "PO" -2.1728947415185
"viper" "PBX2" "Ctrl" -1.76079410435152
"viper" "PBX2" "OA" -1.71962831896299
"viper" "PBX2" "PA" -1.83713435186229
"viper" "PBX2" "PO" -1.80447127729816
"viper" "PBX3" "Ctrl" -2.76401418264907
"viper" "PBX3" "OA" -2.81667567188945
"viper" "PBX3" "PA" -3.12806767266006
"viper" "PBX3" "PO" -2.83539409208387
"viper" "PDX1" "Ctrl" -1.98532853203857
"viper" "PDX1" "OA" -1.85020879477456
"viper" "PDX1" "PA" -1.87441784186125
"viper" "PDX1" "PO" -1.97568598900108
"viper" "PGR" "Ctrl" 0.662358749414734
"viper" "PGR" "OA" 0.875233235009811
"viper" "PGR" "PA" 0.691512796138072
"viper" "PGR" "PO" 0.762604953578355
"viper" "PKNOX1" "Ctrl" -2.39190726741531
"viper" "PKNOX1" "OA" -2.2443147736624
"viper" "PKNOX1" "PA" -2.52262376190927
"viper" "PKNOX1" "PO" -2.44497093841681
"viper" "POU2F1" "Ctrl" -0.664425059079101
"viper" "POU2F1" "OA" -0.746285747719378
"viper" "POU2F1" "PA" -0.227069056318635
"viper" "POU2F1" "PO" -0.446094713870376
"viper" "POU2F2" "Ctrl" -0.182143281805615
"viper" "POU2F2" "OA" -0.343832159127938
"viper" "POU2F2" "PA" -0.157003471165904
"viper" "POU2F2" "PO" -0.19920041759149
"viper" "POU4F2" "Ctrl" -0.498432931419075
"viper" "POU4F2" "OA" -0.363131691504404
"viper" "POU4F2" "PA" -0.471796669889952
"viper" "POU4F2" "PO" -0.419020651783235
"viper" "POU5F1" "Ctrl" -3.09706079456917
"viper" "POU5F1" "OA" -3.04087622029213
"viper" "POU5F1" "PA" -3.13752485366779
"viper" "POU5F1" "PO" -3.10150300208229
"viper" "PPARA" "Ctrl" 1.8767415485965
"viper" "PPARA" "OA" 1.58223566660075
"viper" "PPARA" "PA" 1.52783231642755
"viper" "PPARA" "PO" 1.63273226433033
"viper" "PPARG" "Ctrl" -1.9363409892495
"viper" "PPARG" "OA" -1.91288961253256
"viper" "PPARG" "PA" -1.43892168310935
"viper" "PPARG" "PO" -1.68356775017167
"viper" "PRDM1" "Ctrl" -1.09355141755877
"viper" "PRDM1" "OA" -1.07666474659399
"viper" "PRDM1" "PA" -1.09675537240128
"viper" "PRDM1" "PO" -0.981371906818552
"viper" "PRDM14" "Ctrl" -1.74089669863262
"viper" "PRDM14" "OA" -2.21112938867771
"viper" "PRDM14" "PA" -2.13395881460947
"viper" "PRDM14" "PO" -1.70688149044924
"viper" "PROX1" "Ctrl" -0.12668944389572
"viper" "PROX1" "OA" -0.157544748728161
"viper" "PROX1" "PA" 0.161805095908596
"viper" "PROX1" "PO" -0.0356855945459507
"viper" "RARA" "Ctrl" 0.961493569319433
"viper" "RARA" "OA" 0.826502283800908
"viper" "RARA" "PA" 0.981616002852247
"viper" "RARA" "PO" 0.922086777694826
"viper" "RBPJ" "Ctrl" -1.90552956784194
"viper" "RBPJ" "OA" -1.97340790644243
"viper" "RBPJ" "PA" -2.12313538297382
"viper" "RBPJ" "PO" -1.96337540881904
"viper" "REL" "Ctrl" 1.50267161473644
"viper" "REL" "OA" 0.922603526615183
"viper" "REL" "PA" 0.871276407662316
"viper" "REL" "PO" 0.988270049715425
"viper" "RELA" "Ctrl" 1.77941844235987
"viper" "RELA" "OA" 0.984838241021534
"viper" "RELA" "PA" 0.730156405210257
"viper" "RELA" "PO" 0.921157491514101
"viper" "RELB" "Ctrl" -0.556206017785137
"viper" "RELB" "OA" -1.03508796209186
"viper" "RELB" "PA" -1.27394517806844
"viper" "RELB" "PO" -0.980322092134987
"viper" "REST" "Ctrl" 1.55549589718751
"viper" "REST" "OA" 1.29768585318815
"viper" "REST" "PA" 1.2129542193672
"viper" "REST" "PO" 1.22641541116153
"viper" "RFX1" "Ctrl" -1.75166290876161
"viper" "RFX1" "OA" -1.60274895528202
"viper" "RFX1" "PA" -1.74223171079833
"viper" "RFX1" "PO" -1.7666065398296
"viper" "RFX2" "Ctrl" -1.72458545129112
"viper" "RFX2" "OA" -1.80126621481969
"viper" "RFX2" "PA" -1.73703003618274
"viper" "RFX2" "PO" -1.7741152063527
"viper" "RFX5" "Ctrl" NA
"viper" "RFX5" "OA" NA
"viper" "RFX5" "PA" NA
"viper" "RFX5" "PO" NA
"viper" "RUNX1" "Ctrl" 0.0715630046459873
"viper" "RUNX1" "OA" -0.0747130379508851
"viper" "RUNX1" "PA" 0.114934214077324
"viper" "RUNX1" "PO" 0.0547573450414268
"viper" "RUNX2" "Ctrl" -1.53627493029284
"viper" "RUNX2" "OA" -1.59287052381865
"viper" "RUNX2" "PA" -1.49272875990208
"viper" "RUNX2" "PO" -1.40266628379478
"viper" "RUNX3" "Ctrl" -0.0507044831500426
"viper" "RUNX3" "OA" -0.0629709830501718
"viper" "RUNX3" "PA" -0.0624139520172107
"viper" "RUNX3" "PO" -0.0877460391200181
"viper" "RXRA" "Ctrl" -1.12634071454888
"viper" "RXRA" "OA" -1.28417902388477
"viper" "RXRA" "PA" -1.15283061977784
"viper" "RXRA" "PO" -1.21382275108917
"viper" "SIX2" "Ctrl" -2.57843324706866
"viper" "SIX2" "OA" -2.63191129689688
"viper" "SIX2" "PA" -2.46034195675352
"viper" "SIX2" "PO" -2.37661852624809
"viper" "SIX5" "Ctrl" 0.483562854975209
"viper" "SIX5" "OA" 0.447418074727952
"viper" "SIX5" "PA" 0.52979511954691
"viper" "SIX5" "PO" 0.50659125861565
"viper" "SMAD1" "Ctrl" 0.420366440990522
"viper" "SMAD1" "OA" 0.379347942051313
"viper" "SMAD1" "PA" 0.854837073773023
"viper" "SMAD1" "PO" 0.518078491077028
"viper" "SMAD3" "Ctrl" -0.0320816717795919
"viper" "SMAD3" "OA" -0.118552766085222
"viper" "SMAD3" "PA" -0.0577013828192229
"viper" "SMAD3" "PO" 0.032676470512809
"viper" "SMAD4" "Ctrl" 1.35391024363885
"viper" "SMAD4" "OA" 1.39205992595332
"viper" "SMAD4" "PA" 1.31367481341801
"viper" "SMAD4" "PO" 1.43142853012519
"viper" "SMAD5" "Ctrl" 0.7848237244779
"viper" "SMAD5" "OA" 0.83518915356477
"viper" "SMAD5" "PA" 0.945899896114517
"viper" "SMAD5" "PO" 0.872646968348907
"viper" "SNAI2" "Ctrl" 0.0588020883199024
"viper" "SNAI2" "OA" 0.353596170270862
"viper" "SNAI2" "PA" 0.163307305978639
"viper" "SNAI2" "PO" 0.116885016013114
"viper" "SNAPC4" "Ctrl" 0.603054653510454
"viper" "SNAPC4" "OA" 0.75894745134843
"viper" "SNAPC4" "PA" 0.609859232234117
"viper" "SNAPC4" "PO" 0.564539594584053
"viper" "SOX10" "Ctrl" -1.19775859435581
"viper" "SOX10" "OA" -0.973210227073766
"viper" "SOX10" "PA" -1.42831396490053
"viper" "SOX10" "PO" -0.548785090919891
"viper" "SOX11" "Ctrl" -2.27525535095217
"viper" "SOX11" "OA" -2.07307528149715
"viper" "SOX11" "PA" -2.08041036873315
"viper" "SOX11" "PO" -2.10648244294773
"viper" "SOX13" "Ctrl" 0.733698629693645
"viper" "SOX13" "OA" 0.695897900389332
"viper" "SOX13" "PA" 0.651828934176351
"viper" "SOX13" "PO" 0.811094104788949
"viper" "SOX2" "Ctrl" -0.226683218052772
"viper" "SOX2" "OA" -0.234514287394801
"viper" "SOX2" "PA" -0.363256778451639
"viper" "SOX2" "PO" -0.199388814979381
"viper" "SOX6" "Ctrl" -2.4403616061854
"viper" "SOX6" "OA" -2.42534836236423
"viper" "SOX6" "PA" -2.41906509104932
"viper" "SOX6" "PO" -2.47559590181384
"viper" "SOX9" "Ctrl" 0.50308151625681
"viper" "SOX9" "OA" 0.663583029576039
"viper" "SOX9" "PA" 0.294061801469363
"viper" "SOX9" "PO" 0.546976898269736
"viper" "SP1" "Ctrl" 3.83363722203198
"viper" "SP1" "OA" 3.66269464770568
"viper" "SP1" "PA" 3.71077216498295
"viper" "SP1" "PO" 3.80567743833017
"viper" "SP2" "Ctrl" 0.251867208436903
"viper" "SP2" "OA" 0.282614078198605
"viper" "SP2" "PA" 0.231005036864045
"viper" "SP2" "PO" 0.22201215568757
"viper" "SP3" "Ctrl" 1.90551486098252
"viper" "SP3" "OA" 1.6869614470055
"viper" "SP3" "PA" 1.90535374837001
"viper" "SP3" "PO" 1.86597871547975
"viper" "SP4" "Ctrl" 0.473615192719205
"viper" "SP4" "OA" 0.530490315250762
"viper" "SP4" "PA" 0.63179083026809
"viper" "SP4" "PO" 0.573303457464006
"viper" "SPI1" "Ctrl" 0.545934868588581
"viper" "SPI1" "OA" 0.381435531832369
"viper" "SPI1" "PA" 0.463203070616272
"viper" "SPI1" "PO" 0.619731424227103
"viper" "SPIB" "Ctrl" -2.18535971434377
"viper" "SPIB" "OA" -2.20084053142693
"viper" "SPIB" "PA" -1.88985315074822
"viper" "SPIB" "PO" -2.18634674281095
"viper" "SREBF1" "Ctrl" 1.95115325980178
"viper" "SREBF1" "OA" 1.44695067580416
"viper" "SREBF1" "PA" 2.28456891355603
"viper" "SREBF1" "PO" 1.77377593008096
"viper" "SREBF2" "Ctrl" 3.09437188626867
"viper" "SREBF2" "OA" 2.55415635362613
"viper" "SREBF2" "PA" 3.21246889004853
"viper" "SREBF2" "PO" 2.9888344171723
"viper" "SRF" "Ctrl" -0.0624005073129356
"viper" "SRF" "OA" 0.238974776291243
"viper" "SRF" "PA" -0.322788543103736
"viper" "SRF" "PO" -0.0114493300691057
"viper" "STAT1" "Ctrl" -1.194825061916
"viper" "STAT1" "OA" -1.43789505964495
"viper" "STAT1" "PA" -1.4661557426532
"viper" "STAT1" "PO" -1.46792276883722
"viper" "STAT2" "Ctrl" -2.31530250103119
"viper" "STAT2" "OA" -2.54312316551953
"viper" "STAT2" "PA" -2.67001180669399
"viper" "STAT2" "PO" -2.50495239817804
"viper" "STAT3" "Ctrl" 2.00626804651662
"viper" "STAT3" "OA" 2.08104847271577
"viper" "STAT3" "PA" 1.87697748661329
"viper" "STAT3" "PO" 2.09584110795252
"viper" "STAT4" "Ctrl" -0.280655374521199
"viper" "STAT4" "OA" -0.47273881050298
"viper" "STAT4" "PA" -0.267566132286039
"viper" "STAT4" "PO" -0.321365919788135
"viper" "STAT5A" "Ctrl" -0.0524825371996152
"viper" "STAT5A" "OA" -0.0229642989495721
"viper" "STAT5A" "PA" -0.439570624044352
"viper" "STAT5A" "PO" -0.0900975362566916
"viper" "STAT5B" "Ctrl" 0.512358519837077
"viper" "STAT5B" "OA" 0.532063343826122
"viper" "STAT5B" "PA" 0.134360397271511
"viper" "STAT5B" "PO" 0.534680434959721
"viper" "STAT6" "Ctrl" -1.39406796130518
"viper" "STAT6" "OA" -1.95846263634436
"viper" "STAT6" "PA" -1.82969173700931
"viper" "STAT6" "PO" -1.868118115259
"viper" "TAL1" "Ctrl" -0.684128745321483
"viper" "TAL1" "OA" -0.69284630301262
"viper" "TAL1" "PA" -0.559582627646438
"viper" "TAL1" "PO" -0.705861559370322
"viper" "TBP" "Ctrl" 2.17946325436761
"viper" "TBP" "OA" 2.36365004820759
"viper" "TBP" "PA" 2.17325490545633
"viper" "TBP" "PO" 2.20892442854507
"viper" "TBX21" "Ctrl" -2.55696883282221
"viper" "TBX21" "OA" -2.46227701574941
"viper" "TBX21" "PA" -2.55715769390505
"viper" "TBX21" "PO" -2.41686069545616
"viper" "TCF12" "Ctrl" -2.57218586580505
"viper" "TCF12" "OA" -2.62295555657929
"viper" "TCF12" "PA" -2.74375677086936
"viper" "TCF12" "PO" -2.56375093007007
"viper" "TCF3" "Ctrl" -0.0824774389078414
"viper" "TCF3" "OA" 0.0798103554810892
"viper" "TCF3" "PA" -0.267945419535061
"viper" "TCF3" "PO" -0.0491508313203234
"viper" "TCF4" "Ctrl" -0.325496849776086
"viper" "TCF4" "OA" -0.120828513682133
"viper" "TCF4" "PA" -0.174008247946334
"viper" "TCF4" "PO" -0.301288705772564
"viper" "TCF7" "Ctrl" -0.470277589100065
"viper" "TCF7" "OA" -0.334310150515337
"viper" "TCF7" "PA" -0.607883066390911
"viper" "TCF7" "PO" -0.41885593985201
"viper" "TCF7L2" "Ctrl" 0.198006533381687
"viper" "TCF7L2" "OA" 0.277505471338038
"viper" "TCF7L2" "PA" 0.00762134746477935
"viper" "TCF7L2" "PO" 0.146358574678263
"viper" "TEAD1" "Ctrl" -0.836344413538543
"viper" "TEAD1" "OA" -0.797238293648434
"viper" "TEAD1" "PA" -0.92431710091769
"viper" "TEAD1" "PO" -0.741503658423305
"viper" "TEAD2" "Ctrl" 0.513486671305692
"viper" "TEAD2" "OA" 0.270167210005971
"viper" "TEAD2" "PA" 0.405152561760639
"viper" "TEAD2" "PO" 0.454518755442952
"viper" "TEAD4" "Ctrl" -0.411898996769159
"viper" "TEAD4" "OA" -0.31767219555521
"viper" "TEAD4" "PA" -0.605463854045201
"viper" "TEAD4" "PO" -0.304880694802633
"viper" "TFAP2A" "Ctrl" 1.15492078665594
"viper" "TFAP2A" "OA" 1.05926636886816
"viper" "TFAP2A" "PA" 1.65723243954137
"viper" "TFAP2A" "PO" 1.17520305970185
"viper" "TFAP2C" "Ctrl" -1.08242587692361
"viper" "TFAP2C" "OA" -0.965878176627883
"viper" "TFAP2C" "PA" -0.876275364913105
"viper" "TFAP2C" "PO" -1.13053634752292
"viper" "TFAP4" "Ctrl" -1.51867355060987
"viper" "TFAP4" "OA" -1.68903870312535
"viper" "TFAP4" "PA" -1.90074961575341
"viper" "TFAP4" "PO" -1.60061077259452
"viper" "TFDP1" "Ctrl" 1.68485909963814
"viper" "TFDP1" "OA" 2.24638521302775
"viper" "TFDP1" "PA" 1.33851216017008
"viper" "TFDP1" "PO" 1.97021149194669
"viper" "TGIF2" "Ctrl" -1.21461961476036
"viper" "TGIF2" "OA" -1.21677454501827
"viper" "TGIF2" "PA" -1.2090605026652
"viper" "TGIF2" "PO" -1.14537300967653
"viper" "THAP1" "Ctrl" 1.95896511756527
"viper" "THAP1" "OA" 2.0338642408867
"viper" "THAP1" "PA" 1.91865644984408
"viper" "THAP1" "PO" 2.03868416305889
"viper" "THAP11" "Ctrl" -1.49228068540311
"viper" "THAP11" "OA" -1.57359805662422
"viper" "THAP11" "PA" -1.74216873833154
"viper" "THAP11" "PO" -1.57684694649331
"viper" "TP53" "Ctrl" 0.398479539231902
"viper" "TP53" "OA" 0.234443523023528
"viper" "TP53" "PA" 0.243464087295761
"viper" "TP53" "PO" 0.316397051540394
"viper" "TP63" "Ctrl" -0.286295996678762
"viper" "TP63" "OA" -0.658043670696131
"viper" "TP63" "PA" -0.588476624772095
"viper" "TP63" "PO" -0.339696373978601
"viper" "TP73" "Ctrl" 0.251740001084814
"viper" "TP73" "OA" 0.121056810943107
"viper" "TP73" "PA" 0.221685917496742
"viper" "TP73" "PO" 0.231238237995149
"viper" "TWIST1" "Ctrl" 0.00645620465980483
"viper" "TWIST1" "OA" 0.0257085807409265
"viper" "TWIST1" "PA" 0.171643274377663
"viper" "TWIST1" "PO" 0.0634282535277381
"viper" "USF1" "Ctrl" 2.62973285172305
"viper" "USF1" "OA" 2.37310885177759
"viper" "USF1" "PA" 2.57407870727985
"viper" "USF1" "PO" 2.585622679079
"viper" "USF2" "Ctrl" 2.65127174059419
"viper" "USF2" "OA" 2.36524553337536
"viper" "USF2" "PA" 2.70588884797475
"viper" "USF2" "PO" 2.56700285231623
"viper" "VDR" "Ctrl" 0.171474258909731
"viper" "VDR" "OA" 0.195183007591231
"viper" "VDR" "PA" 0.0186322597250444
"viper" "VDR" "PO" 0.157961086788333
"viper" "WT1" "Ctrl" 0.463656515172218
"viper" "WT1" "OA" 0.603570679071503
"viper" "WT1" "PA" 0.263981155476753
"viper" "WT1" "PO" 0.446136556173345
"viper" "XBP1" "Ctrl" -0.535664088723006
"viper" "XBP1" "OA" -0.46980262723902
"viper" "XBP1" "PA" -0.541671275827345
"viper" "XBP1" "PO" -0.538942754325266
"viper" "YY1" "Ctrl" 0.504798670783172
"viper" "YY1" "OA" 0.757814921501482
"viper" "YY1" "PA" 0.401687021708519
"viper" "YY1" "PO" 0.648120386748218
"viper" "ZBED1" "Ctrl" 1.31768989009061
"viper" "ZBED1" "OA" 1.51270789726797
"viper" "ZBED1" "PA" 1.44509144739582
"viper" "ZBED1" "PO" 1.3420301017828
"viper" "ZBTB11" "Ctrl" 0.407009631242944
"viper" "ZBTB11" "OA" 0.520837333234403
"viper" "ZBTB11" "PA" 0.576712796035889
"viper" "ZBTB11" "PO" 0.457588062211355
"viper" "ZBTB33" "Ctrl" -0.995335059959357
"viper" "ZBTB33" "OA" -0.870109799967565
"viper" "ZBTB33" "PA" -0.81007318334827
"viper" "ZBTB33" "PO" -0.937986215353317
"viper" "ZBTB7A" "Ctrl" -3.82381728480503
"viper" "ZBTB7A" "OA" -3.61470925985126
"viper" "ZBTB7A" "PA" -3.79612574257328
"viper" "ZBTB7A" "PO" -3.91335520565547
"viper" "ZEB1" "Ctrl" -3.95906620212263
"viper" "ZEB1" "OA" -3.79449153068707
"viper" "ZEB1" "PA" -3.77311373894474
"viper" "ZEB1" "PO" -3.89401473914702
"viper" "ZEB2" "Ctrl" 1.18307944849452
"viper" "ZEB2" "OA" 1.2546366281263
"viper" "ZEB2" "PA" 1.15116232545349
"viper" "ZEB2" "PO" 1.25050733494939
"viper" "ZFX" "Ctrl" 1.23730830876548
"viper" "ZFX" "OA" 1.46418217154616
"viper" "ZFX" "PA" 1.3178460926431
"viper" "ZFX" "PO" 1.28723918149907
"viper" "ZKSCAN1" "Ctrl" 1.17407174693088
"viper" "ZKSCAN1" "OA" 0.97528946293544
"viper" "ZKSCAN1" "PA" 1.09455354495233
"viper" "ZKSCAN1" "PO" 1.08239914483545
"viper" "ZNF143" "Ctrl" -0.136026218496114
"viper" "ZNF143" "OA" -0.162497590289692
"viper" "ZNF143" "PA" -0.194514571973707
"viper" "ZNF143" "PO" -0.224396304234971
"viper" "ZNF217" "Ctrl" -0.747051132020028
"viper" "ZNF217" "OA" -0.788357710572355
"viper" "ZNF217" "PA" -0.662334398503434
"viper" "ZNF217" "PO" -0.745492001397771
"viper" "ZNF24" "Ctrl" 1.52122019994178
"viper" "ZNF24" "OA" 1.41607671961155
"viper" "ZNF24" "PA" 1.47007921248515
"viper" "ZNF24" "PO" 1.50267887326422
"viper" "ZNF263" "Ctrl" -0.107415503997519
"viper" "ZNF263" "OA" 0.0654733159531446
"viper" "ZNF263" "PA" 0.189817398662556
"viper" "ZNF263" "PO" -0.174151392695054
"viper" "ZNF274" "Ctrl" 0.594257905952262
"viper" "ZNF274" "OA" 0.537700497311597
"viper" "ZNF274" "PA" 0.54128299964978
"viper" "ZNF274" "PO" 0.660349109585128
"viper" "ZNF384" "Ctrl" 0.198277898015126
"viper" "ZNF384" "OA" 0.209330519701507
"viper" "ZNF384" "PA" 0.323333868631209
"viper" "ZNF384" "PO" 0.171067483544896
"viper" "ZNF592" "Ctrl" 0.407278371839588
"viper" "ZNF592" "OA" 0.401954634421951
"viper" "ZNF592" "PA" 0.382367101315968
"viper" "ZNF592" "PO" 0.401550054465219
"viper" "ZNF639" "Ctrl" -0.246963853660951
"viper" "ZNF639" "OA" -0.441387992194147
"viper" "ZNF639" "PA" -0.483804200337043
"viper" "ZNF639" "PO" -0.276265692289791
"viper" "ZNF740" "Ctrl" 1.20849521664014
"viper" "ZNF740" "OA" 1.47256388524102
"viper" "ZNF740" "PA" 1.23603396412809
"viper" "ZNF740" "PO" 1.28307197413111
